"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2023","48,662.00","48,662.00","48,662.00","48,662.00","","-0.01%"
"01/25/2023","48,667.00","48,667.00","48,667.00","48,667.00","","-0.01%"
"01/24/2023","48,672.00","48,672.00","48,672.00","48,672.00","","0.00%"
"01/23/2023","48,672.00","48,672.00","48,672.00","48,672.00","","-0.04%"
"01/20/2023","48,693.00","48,693.00","48,693.00","48,693.00","","-0.01%"
"01/19/2023","48,698.00","48,698.00","48,698.00","48,698.00","","-0.01%"
"01/18/2023","48,702.00","48,702.00","48,702.00","48,702.00","","-0.01%"
"01/17/2023","48,706.00","48,706.00","48,706.00","48,706.00","","0.31%"
"01/16/2023","48,556.00","48,556.00","48,556.00","48,556.00","0.01K","-0.04%"
"01/13/2023","48,573.50","48,573.50","48,573.50","48,573.50","","-0.01%"
"01/12/2023","48,578.00","48,578.00","48,578.00","48,578.00","","-0.01%"
"01/11/2023","48,582.50","48,582.50","48,582.50","48,582.50","","0.00%"
"01/10/2023","48,582.50","48,582.50","48,582.50","48,582.50","","0.00%"
"01/09/2023","48,582.50","48,582.50","48,582.50","48,582.50","","-0.04%"
"01/06/2023","48,604.00","48,604.00","48,604.00","48,604.00","","-2.02%"
"01/05/2023","49,608.00","49,608.00","49,608.00","49,608.00","","-0.92%"
"01/04/2023","50,067.50","50,067.50","50,067.50","50,067.50","","-0.01%"
"01/03/2023","50,072.00","50,072.00","50,072.00","50,072.00","","-2.94%"
"12/30/2022","51,591.00","51,591.00","51,591.00","51,591.00","","-0.01%"
"12/29/2022","51,595.00","51,595.00","51,595.00","51,595.00","","-0.01%"
"12/28/2022","51,599.00","51,599.00","51,599.00","51,599.00","","-0.04%"
"12/23/2022","51,621.00","51,621.00","51,621.00","51,621.00","","-0.01%"
"12/22/2022","51,625.00","51,625.00","51,625.00","51,625.00","","-0.01%"
"12/21/2022","51,629.00","51,629.00","51,629.00","51,629.00","","-0.01%"
"12/20/2022","51,633.00","51,633.00","51,633.00","51,633.00","0.01K","0.30%"
"12/19/2022","51,481.00","51,481.00","51,481.00","51,481.00","","-0.03%"
"12/16/2022","51,498.50","51,498.50","51,498.50","51,498.50","","-0.01%"
"12/15/2022","51,503.00","51,503.00","51,503.00","51,503.00","","-0.01%"
"12/14/2022","51,508.00","51,508.00","51,508.00","51,508.00","","-0.01%"
"12/13/2022","51,514.00","51,514.00","51,514.00","51,514.00","","0.00%"
"12/12/2022","51,514.00","51,514.00","51,514.00","51,514.00","","-0.04%"
"12/09/2022","51,536.00","51,536.00","51,536.00","51,536.00","","-0.01%"
"12/08/2022","51,541.50","51,541.50","51,541.50","51,541.50","","-0.01%"
"12/07/2022","51,547.00","51,547.00","51,547.00","51,547.00","","-0.01%"
"12/06/2022","51,552.00","51,552.00","51,552.00","51,552.00","","0.00%"
"12/05/2022","51,552.50","51,552.50","51,552.50","51,552.50","","-0.04%"
"12/02/2022","51,574.00","51,574.00","51,574.00","51,574.00","","-0.01%"
"12/01/2022","51,579.00","51,579.00","51,579.00","51,579.00","","-0.01%"
"11/30/2022","51,584.00","51,584.00","51,584.00","51,584.00","","0.00%"
"11/29/2022","51,584.00","51,584.00","51,584.00","51,584.00","","0.00%"
"11/28/2022","51,584.00","51,584.00","51,584.00","51,584.00","","-0.04%"
"11/25/2022","51,606.00","51,606.00","51,606.00","51,606.00","","0.00%"
"11/24/2022","51,606.00","51,606.00","51,606.00","51,606.00","","-0.01%"
"11/23/2022","51,611.00","51,611.00","51,611.00","51,611.00","","-0.01%"
"11/22/2022","51,616.00","51,616.00","51,616.00","51,616.00","","-0.01%"
"11/21/2022","51,621.00","51,621.00","51,621.00","51,621.00","","-0.04%"
"11/18/2022","51,643.00","51,643.00","51,643.00","51,643.00","","0.00%"
"11/17/2022","51,643.00","51,643.00","51,643.00","51,643.00","","-0.01%"
"11/16/2022","51,648.00","51,648.00","51,648.00","51,648.00","","-0.01%"
"11/15/2022","51,653.00","51,653.00","51,653.00","51,653.00","","0.29%"
"11/14/2022","51,503.00","51,503.00","51,503.00","51,503.00","0.01K","-0.04%"
"11/11/2022","51,525.00","51,525.00","51,525.00","51,525.00","","0.00%"
"11/10/2022","51,525.00","51,525.00","51,525.00","51,525.00","","-0.01%"
"11/09/2022","51,530.00","51,530.00","51,530.00","51,530.00","","-0.01%"
"11/08/2022","51,535.00","51,535.00","51,535.00","51,535.00","","-0.01%"
"11/07/2022","51,540.00","51,540.00","51,540.00","51,540.00","","-0.04%"
"11/04/2022","51,561.00","51,561.00","51,561.00","51,561.00","","0.00%"
"11/03/2022","51,561.00","51,561.00","51,561.00","51,561.00","","-0.01%"
"11/02/2022","51,566.50","51,566.50","51,566.50","51,566.50","","-0.01%"
"11/01/2022","51,572.00","51,572.00","51,572.00","51,572.00","","-0.01%"
"10/31/2022","51,577.50","51,577.50","51,577.50","51,577.50","","-0.04%"
"10/28/2022","51,599.00","51,599.00","51,599.00","51,599.00","","0.00%"
"10/27/2022","51,599.00","51,599.00","51,599.00","51,599.00","","-0.01%"
"10/26/2022","51,604.50","51,604.50","51,604.50","51,604.50","","-0.01%"
"10/25/2022","51,610.00","51,610.00","51,610.00","51,610.00","","-0.01%"
"10/24/2022","51,615.50","51,615.50","51,615.50","51,615.50","","-0.04%"
"10/21/2022","51,637.00","51,637.00","51,637.00","51,637.00","","0.00%"
"10/20/2022","51,637.00","51,637.00","51,637.00","51,637.00","","-0.01%"
"10/19/2022","51,642.50","51,642.50","51,642.50","51,642.50","","-0.01%"
"10/18/2022","51,648.00","51,648.00","51,648.00","51,648.00","","0.28%"
"10/17/2022","51,503.00","51,503.00","51,503.00","51,503.00","0.01K","-0.04%"
"10/14/2022","51,525.00","51,525.00","51,525.00","51,525.00","","0.00%"
"10/13/2022","51,525.50","51,525.50","51,525.50","51,525.50","","-0.01%"
"10/12/2022","51,531.00","51,531.00","51,531.00","51,531.00","","-0.01%"
"10/11/2022","51,536.50","51,536.50","51,536.50","51,536.50","","-0.01%"
"10/10/2022","51,542.00","51,542.00","51,542.00","51,542.00","","-0.04%"
"10/07/2022","51,563.00","51,563.00","51,563.00","51,563.00","","0.00%"
"10/06/2022","51,563.00","51,563.00","51,563.00","51,563.00","","-0.01%"
"10/05/2022","51,569.00","51,569.00","51,569.00","51,569.00","","-0.01%"
"10/04/2022","51,575.00","51,575.00","51,575.00","51,575.00","","-0.01%"
"10/03/2022","51,581.00","51,581.00","51,581.00","51,581.00","","-0.04%"
"09/30/2022","51,603.00","51,603.00","51,603.00","51,603.00","","-0.01%"
