Date,Price,Price_gte_2,Price_gte_12,Price_gte_22,Price_lte_2,Price_lte_12,Price_lte_22
2020-10-25,3.0885,True,False,False,False,True,True
2020-10-26,3.09,True,False,False,False,True,True
2020-10-27,3.057,True,False,False,False,True,True
2020-10-28,3.052,True,False,False,False,True,True
2020-10-29,3.0435,True,False,False,False,True,True
2020-11-02,3.0735,True,False,False,False,True,True
2020-11-03,3.087,True,False,False,False,True,True
2020-11-04,3.101,True,False,False,False,True,True
2020-11-05,3.1045,True,False,False,False,True,True
2020-11-06,3.149,True,False,False,False,True,True
2020-11-09,3.1515,True,False,False,False,True,True
2020-11-10,3.1505,True,False,False,False,True,True
2020-11-11,3.129,True,False,False,False,True,True
2020-11-12,3.143,True,False,False,False,True,True
2020-11-13,3.1755,True,False,False,False,True,True
2020-11-16,3.22,True,False,False,False,True,True
2020-11-17,3.1965,True,False,False,False,True,True
2020-11-18,3.198,True,False,False,False,True,True
2020-11-19,3.2035,True,False,False,False,True,True
2020-11-20,3.2935,True,False,False,False,True,True
2020-11-23,3.2595,True,False,False,False,True,True
2020-11-24,3.3,True,False,False,False,True,True
2020-11-25,3.312,True,False,False,False,True,True
2020-11-27,3.3995,True,False,False,False,True,True
2020-11-30,3.4205,True,False,False,False,True,True
2020-12-01,3.468,True,False,False,False,True,True
2020-12-02,3.475,True,False,False,False,True,True
2020-12-03,3.479,True,False,False,False,True,True
2020-12-04,3.514,True,False,False,False,True,True
2020-12-07,3.5085,True,False,False,False,True,True
2020-12-08,3.494,True,False,False,False,True,True
2020-12-09,3.508,True,False,False,False,True,True
2020-12-10,3.5705,True,False,False,False,True,True
2020-12-11,3.524,True,False,False,False,True,True
2020-12-14,3.522,True,False,False,False,True,True
2020-12-15,3.538,True,False,False,False,True,True
2020-12-16,3.554,True,False,False,False,True,True
2020-12-17,3.597,True,False,False,False,True,True
2020-12-18,3.6285,True,False,False,False,True,True
2020-12-21,3.573,True,False,False,False,True,True
2020-12-22,3.518,True,False,False,False,True,True
2020-12-23,3.552,True,False,False,False,True,True
2020-12-24,3.56,True,False,False,False,True,True
2020-12-28,3.57,True,False,False,False,True,True
2020-12-29,3.553,True,False,False,False,True,True
2020-12-30,3.543,True,False,False,False,True,True
2020-12-31,3.514,True,False,False,False,True,True
2021-01-04,3.553,True,False,False,False,True,True
2021-01-05,3.6405,True,False,False,False,True,True
2021-01-06,3.65,True,False,False,False,True,True
2021-01-07,3.6955,True,False,False,False,True,True
2021-01-08,3.6735,True,False,False,False,True,True
2021-01-11,3.564,True,False,False,False,True,True
2021-01-12,3.605,True,False,False,False,True,True
2021-01-13,3.617,True,False,False,False,True,True
2021-01-14,3.668,True,False,False,False,True,True
2021-01-15,3.603,True,False,False,False,True,True
2021-01-19,3.636,True,False,False,False,True,True
2021-01-20,3.6475,True,False,False,False,True,True
2021-01-21,3.6555,True,False,False,False,True,True
2021-01-22,3.6355,True,False,False,False,True,True
2021-01-25,3.6405,True,False,False,False,True,True
